"logFC","logCPM","LR","PValue","FDR"
"K07806",0.97855903735789,2.65883960754676,26.6640136711904,2.42088563918886e-07,8.19019391537209e-06
"K18383",0.8119405883811,4.80028425982077,26.608409290317,2.49156914993619e-07,8.38060166675068e-06
"K02692",-1.49714552644721,3.33211799695839,26.583753514828,2.52356968041265e-07,8.439455155357e-06
"K18831",-0.483489254451451,5.7440110381524,26.5400157764001,2.58135351024967e-07,8.58336918636731e-06
"K16877",0.56062001063247,5.21014896008894,26.4538655602076,2.69907812122743e-07,8.8871874362804e-06
"K07690",1.99290714284435,2.00523394973737,26.4453860211717,2.71095246533557e-07,8.8871874362804e-06
"K10255",-0.298119014400158,7.33466922197994,26.4399860455221,2.71854161137293e-07,8.8871874362804e-06
"K11441",2.29583997458544,1.45644702014759,26.3928648281095,2.78567622473042e-07,8.96162763648256e-06
"K14331",-1.46460623910914,3.97203675699539,26.3876878505788,2.79315256076026e-07,8.96162763648256e-06
"K02189",0.624268893843403,3.64678474488655,26.3783038510377,2.80675577889822e-07,8.96162763648256e-06
"K02702",-1.65954764813356,1.33222361336111,26.3780585929841,2.8071121985536e-07,8.96162763648256e-06
"K02029",0.258240839011528,8.96578408772501,26.3703652110953,2.81831561690378e-07,8.96162763648256e-06
"K00150",-0.974498511248699,4.92802176276713,26.337416039622,2.86680680916878e-07,9.06627653399626e-06
"K08700",-1.6576934199407,3.87454858906043,26.3051630466777,2.91508335483821e-07,9.16911894151543e-06
"K09017",0.503530434614007,4.81446565623883,26.2749685989594,2.96101695839326e-07,9.26352563488731e-06
"K01959",0.592997273208905,4.34398442049871,26.1878613924754,3.09763592385385e-07,9.6391141395217e-06
"K14605",-0.850894019262147,6.07166218863322,26.0757729689686,3.282773875689e-07,1.01608836077842e-05
"K05581",-1.32737764871828,3.42582998179001,26.0368840932123,3.34956617443919e-07,1.02912229428654e-05
"K19954",1.27676460121318,2.41043057685384,26.0307329404577,3.36025495642622e-07,1.02912229428654e-05
"K02639",-1.63008464637901,5.33041103623911,25.9466907076116,3.50976582207482e-07,1.06458560966354e-05
"K11961",-0.310616250011334,6.87464034358364,25.9451112820149,3.51263854709399e-07,1.06458560966354e-05
"K03823",0.146918537462923,8.20987937060928,25.9104747605316,3.57623292327832e-07,1.07607804387173e-05
"K10697",-1.38724581406358,4.10832264308373,25.9043793557028,3.5875432292682e-07,1.07607804387173e-05
"K05381",-1.43012390863943,0.5741981489851,25.8034376360291,3.78014604427271e-07,1.12803435033964e-05
"K11950",-1.56498276710448,4.61606042516143,25.7764766240059,3.83332091821147e-07,1.13688376972743e-05
"K03668",2.49682519424077,0.0145142501715877,25.7633105538938,3.85956005072484e-07,1.13688376972743e-05
"K09120",-0.818228825628361,4.22746476575658,25.7588883344681,3.86841358319352e-07,1.13688376972743e-05
"K07661",1.59681392607555,1.37451276176372,25.7433459419641,3.89969216442376e-07,1.13859003773505e-05
"K16876",0.582124244314286,4.06731431821163,25.7365970438275,3.91335293945712e-07,1.13859003773505e-05
"K07494",-0.763513328766427,6.67589681310125,25.6476579252581,4.09792543648794e-07,1.18635960770763e-05
"K05572",-1.48332428470526,4.39246833681717,25.607872744594,4.18329149877196e-07,1.2050778827403e-05
"K03311",2.57051583026014,1.71883534409237,25.4742751782317,4.48320963483855e-07,1.28122013244181e-05
"K02716",-1.65809635289806,4.09798332452306,25.4706479182107,4.49164645159185e-07,1.28122013244181e-05
"K15408",0.3997964650802,6.46756454961803,25.4278602297699,4.59237788799945e-07,1.30356326489116e-05
"K03284",0.0975814983959995,9.90072819579657,25.4011367902718,4.65643641029851e-07,1.31533026560811e-05
"K11525",-2.1557868280051,6.59881848290446,25.3667931631494,4.74007839282384e-07,1.33248870376048e-05
"K08159",2.07446732909393,1.55300504299395,25.3454543409673,4.79280489928733e-07,1.34083325523813e-05
"K02380",0.999659309130085,2.50718897917997,25.2543143495237,5.0247047254776e-07,1.39898357883034e-05
